"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"3374178_3",7904,"107","",3,"","",""
"3374177_3",7904,"106","",3,"","",""
"3374176_3",7904,"105","",3,"","",""
"3374175_3",7904,"104","",3,"","",""
"3374174_3",7904,"103","",3,"","",""
"3374173_3",7904,"102","",3,"","",""
"3374172_3",7904,"101","",3,"","",""
"3417009_3",7662,"E48","",3,"","",""
"3417008_3",7662,"E49","",3,"","",""
"3417007_3",7662,"NE19","",3,"","",""
"3417006_3",7662,"SB72","",3,"","",""
"3417005_3",7662,"SB71","",3,"","",""
"3417004_3",7662,"NE7","",3,"","",""
"3417003_3",7662,"NE6","",3,"","",""
"3417002_3",7662,"NE5","",3,"","",""
"3417001_3",7662,"NE4","",3,"","",""
"3417000_3",7662,"NE3","",3,"","",""
"3416999_3",7662,"NE2","",3,"","",""
"3416998_3",7662,"NE1","",3,"","",""
"3416997_3",7662,"NE32","",3,"","",""
"3416996_3",7662,"543","",3,"","",""
"3416995_3",7662,"542","",3,"","",""
"3416994_3",7662,"541","",3,"","",""
"3416993_3",7662,"539","",3,"","",""
"3416992_3",7662,"538","",3,"","",""
"3416991_3",7662,"535","",3,"","",""
"3416990_3",7662,"534","",3,"","",""
"3416989_3",7662,"532","",3,"","",""
"3416988_3",7662,"530","",3,"","",""
"3416987_3",7662,"528","",3,"","",""
"3416986_3",7662,"527","",3,"","",""
"3416985_3",7662,"525","",3,"","",""
"3416984_3",7662,"524","",3,"","",""
"3416983_3",7662,"521","",3,"","",""
"3416982_3",7662,"E133","",3,"","",""
"3416981_3",7662,"520","",3,"","",""
"3416980_3",7662,"519","",3,"","",""
"3416979_3",7662,"E34","",3,"","",""
"3416978_3",7662,"518","",3,"","",""
"3416977_3",7662,"517","",3,"","",""
"3416976_3",7662,"516","",3,"","",""
"3416975_3",7662,"515","",3,"","",""
"3416974_3",7662,"514","",3,"","",""
"3416973_3",7662,"513","",3,"","",""
"3416972_3",7662,"E132","",3,"","",""
"3416971_3",7662,"512","",3,"","",""
"3416970_3",7662,"E129","",3,"","",""
"3416969_3",7662,"E128","",3,"","",""
"3416968_3",7662,"510","",3,"","",""
"3416967_3",7662,"E122","",3,"","",""
"3416966_3",7662,"E121","",3,"","",""
"3416965_3",7662,"E119","",3,"","",""
"3416964_3",7662,"E118","",3,"","",""
"3416963_3",7662,"E130","",3,"","",""
"3416962_3",7662,"E114","",3,"","",""
"3416961_3",7662,"E112","",3,"","",""
"3416960_3",7662,"E111","",3,"","",""
"3416959_3",7662,"E105","",3,"","",""
"3416958_3",7662,"E104","",3,"","",""
"3416957_3",7662,"E102","",3,"","",""
"3416956_3",7662,"E123","",3,"","",""
"3416955_3",7662,"E115","",3,"","",""
"3416954_3",7662,"E101","",3,"","",""
"3416953_3",7662,"E47","",3,"","",""
"3416952_3",7662,"E45","",3,"","",""
"3416951_3",7662,"E43","",3,"","",""
"3416950_3",7662,"E42","",3,"","",""
"3416949_3",7662,"E41","",3,"","",""
"3416948_3",7662,"E40","",3,"","",""
"3416947_3",7662,"E39","",3,"","",""
"3416946_3",7662,"E38","",3,"","",""
"3416945_3",7662,"E32","",3,"","",""
"3416944_3",7662,"E31","",3,"","",""
"3416943_3",7662,"E30","",3,"","",""
"3416942_3",7662,"E28","",3,"","",""
"3416941_3",7662,"E27","",3,"","",""
"3416940_3",7662,"E26","",3,"","",""
"3416939_3",7662,"E25","",3,"","",""
"3416938_3",7662,"E23","",3,"","",""
"3416937_3",7662,"E22","",3,"","",""
"3416936_3",7662,"E21","",3,"","",""
